,playerName,ballSkill,defence,mental,passing,physical,shooting,goalkeeper
5570,Jonny Howson,71.5,62.0,69.83333333333333,68.0,68.0,65.25,12.0
5571,Davide Di Gennaro,73.0,48.666666666666664,66.66666666666667,74.66666666666667,69.85714285714286,65.625,10.8
5572,Kadu,37.5,71.66666666666667,55.166666666666664,40.666666666666664,63.857142857142854,36.75,9.2
5575,Jan Morávek,74.5,52.0,67.83333333333333,74.0,62.285714285714285,67.75,9.4
5576,David Stockdale,17.5,13.0,38.833333333333336,32.666666666666664,38.0,14.625,72.0
5577,Julian Palmieri,73.5,71.0,71.16666666666667,74.0,70.14285714285714,61.375,9.6
5578,Zeng Cheng,19.0,11.0,43.5,28.666666666666668,39.142857142857146,12.625,71.2
5579,Rasmus Bengtsson,54.5,73.66666666666667,59.833333333333336,54.666666666666664,59.0,41.125,10.0
5582,Chong Te Se,66.5,39.0,65.66666666666667,61.0,70.71428571428571,68.0,9.0
5583,Ragnar Sigurðsson,41.0,70.33333333333333,62.333333333333336,56.0,65.42857142857143,46.875,8.8
5584,Bakary Sako,71.0,35.0,65.33333333333333,69.0,71.71428571428571,70.5,11.6
5585,Adel Taarabt,83.5,28.666666666666668,63.166666666666664,64.0,63.857142857142854,67.75,4.8
